CHILD;PARENT
J01EC02;J01EC
J01EC01;J01EC
J01CE10;J01CE
J01CE01;J01CE
H04AA01;H04AA
H04AA;H04A
H04A;H04
H04;H
N01BA04;N01BA
N01BA;N01B
M05BA07;M05BA
M02AX03;M02AX
M02AB02;M02AB
M02AB;M02A
M02AB01;M02AB
M01AE12;M01AE
L04AC03;L04AC
L04AA18;L04AA
L04AA13;L04AA
L03AC02;L03AC
L03AB07;L03AB
L02BB03;L02BB
L02AE02;L02AE
L01XX33;L01XX
L01XC10;L01XC
L04AA25;L04AA
L04AA04;L04AA
L01XX35;L01XX
L01XX05;L01XX
L01XX02;L01XX
L01XC08;L01XC
L01XC03;L01XC
L01DC01;L01DC
L01DB02;L01DB
L01CD02;L01CD
L01XC05;L01XC
L01XB01;L01XB
L01XB;L01X
S01EE03;S01EE
S01ED04;S01ED
S01EC03;S01EC
R05FA02;R05FA
R05FA;R05F
R03DC03;R03DC
R03BA05;R03BA
R03BA01;R03BA
R03AC02;R03AC
R01AX03;R01AX
J05AE09;J05AE
J04AC01;J04AC
J04AC;J04A
J02AX04;J02AX
J02AX;J02A
J02AX01;J02AX
J02AC02;J02AC
J01XX10;J01XX
J01XX01;J01XX
J01XA01;J01XA
R06AE05;R06AE
R06AA02;R06AA
R05DA03;R05DA
R05CB01;R05CB
R03AC08;R03AC
R01AX06;R01AX
J05AF04;J05AF
J05AE07;J05AE
J04AK02;J04AK
J02AX05;J02AX
J02AC03;J02AC
J02AA01;J02AA
J02AA;J02A
J01GB01;J01GB
J01EE01;J01EE
J01EE;J01E
J01DH51;J01DH
J01DB04;J01DB
J01CR05;J01CR
J01CR02;J01CR
J01CE02;J01CE
J01CA51;J01CA
J01BA01;J01BA
J01BA;J01B
J01B;J01
G04BX01;G04BX
G03XA01;G03XA
G03XA;G03X
G03FA01;G03FA
G03FA;G03F
G03F;G03
G03BA02;G03BA
G03BA;G03B
G03B;G03
H01BA02;H01BA
H01BA;H01B
G04CA02;G04CA
G04BE02;G04BE
R03AC13;R03AC
R02AD01;R02AD
R02AD;R02A
R02AA05;R02AA
R02AA;R02A
J05AX07;J05AX
J05AF08;J05AF
J05AF06;J05AF
J05AB01;J05AB
J01FG02;J01FG
J01FG;J01F
J01FA10;J01FA
J01DH02;J01DH
J01DB01;J01DB
J01CA01;J01CA
J01AA08;J01AA
J01AA07;J01AA
H05BA01;H05BA
H05BA;H05B
H02AB09;H02AB
H02AB06;H02AB
G04CB01;G04CB
G02AB01;G02AB
G02AB;G02A
D11AH01;D11AH
D11AH;D11A
D10AB02;D10AB
D10AB;D10A
D08AL01;D08AL
D08AL;D08A
D07XA01;D07XA
D07XA;D07X
D07AB11;D07AB
D07AB09;D07AB
D05BB02;D05BB
D05BB;D05B
D05B;D05
D04AB01;D04AB
D03BA01;D03BA
D03BA;D03B
D03B;D03
D03;D
H01BA01;H01BA
H01AA02;H01AA
H01AA;H01A
H01A;H01
G03DA04;G03DA
G03BB02;G03BB
G03BB;G03B
G04CA03;G04CA
G04BX06;G04BX
G04BD08;G04BD
G04BA03;G04BA
G04BA;G04B
G02CB03;G02CB
G01AF04;G01AF
D09AB01;D09AB
D09AB;D09A
D09A;D09
D09;D
D09AA09;D09AA
D09AA;D09A
D07AC04;D07AC
D07AA02;D07AA
D07AA;D07A
D06BB10;D06BB
D02AE01;D02AE
D02AE;D02A
D02A;D02
D02;D
D11AC08;D11AC
D10AF01;D10AF
D10AF;D10A
D10AE01;D10AE
D10AE;D10A
D08AL30;D08AL
D07AD02;D07AD
D07AD;D07A
D07AD01;D07AD
D07AC01;D07AC
D06BA01;D06BA
D06BA;D06B
D05AX02;D05AX
D03BA02;D03BA
D01BA02;D01BA
D01BA;D01B
D01B;D01
D01AE18;D01AE
D01AE15;D01AE
D01AC03;D01AC
C10AC02;C10AC
C10AC;C10A
C09CA04;C09CA
C09AA05;C09AA
C08CA02;C08CA
C05AD04;C05AD
C04AC03;C04AC
C04AC;C04A
C03DA04;C03DA
C03BA04;C03BA
C03BA;C03B
C03B;C03
J01GB06;J01GB
J01GA01;J01GA
J01EB20;J01EB
J01EB;J01E
J01DH03;J01DH
J01DE01;J01DE
J01DE;J01D
J01CA04;J01CA
J01AA12;J01AA
H05BX03;H05BX
H03AA02;H03AA
G03EK01;G03EK
G03EK;G03E
G03E;G03
G03EA01;G03EA
G03EA;G03E
G03DB02;G03DB
G03DB;G03D
G03BA03;G03BA
G03AC06;G03AC
D09AB02;D09AB
D08AX07;D08AX
D08AX;D08A
D07XB30;D07XB
D07CB01;D07CB
D07CB;D07C
D07C;D07
D07AC19;D07AC
D06BX01;D06BX
D06BX;D06B
D04AB04;D04AB
D03AX06;D03AX
D03AX;D03A
D03A;D03
D02AE51;D02AE
D01AC01;D01AC
C10AD02;C10AD
C10AD;C10A
C09XA02;C09XA
C09XA;C09X
C09X;C09
C09AA07;C09AA
C09AA01;C09AA
C08CA04;C08CA
C10AC01;C10AC
C10AA04;C10AA
C09AA10;C09AA
C09AA03;C09AA
C09AA02;C09AA
C08DA01;C08DA
C08DA;C08D
C08CA05;C08CA
C08CA01;C08CA
C07AB12;C07AB
C05AX04;C05AX
C03CC01;C03CC
C03CC;C03C
C03CA02;C03CA
C03CA01;C03CA
L01CA01;L01CA
L01BB06;L01BB
L01AX03;L01AX
C05AX02;C05AX
C05AD01;C05AD
C04AC01;C04AC
C03DB02;C03DB
C03DB;C03D
C03AA03;C03AA
L01AC01;L01AC
L01AC;L01A
L01AB01;L01AB
L01AB;L01A
J07CA02;J07CA
J07CA;J07C
J07C;J07
J07BJ01;J07BJ
J07BJ;J07B
J07BD54;J07BD
J07BB02;J07BB
J07BB;J07B
J07AL01;J07AL
J07AH04;J07AH
C10AA03;C10AA
C09CA03;C09CA
C09AA06;C09AA
C08CA06;C08CA
C07AB07;C07AB
C07AA12;C07AA
C05AX01;C05AX
C05AD03;C05AD
C05AA05;C05AA
J07BG01;J07BG
J07BG;J07B
J06BB03;J06BB
B05XA30;B05XA
B05BC02;B05BC
B05BC;B05B
B05BA03;B05BA
B03XA01;B03XA
B03XA;B03X
B03X;B03
B03BB01;B03BB
B03AE02;B03AE
B03AA07;B03AA
B03AA;B03A
B02BD05;B02BD
B02BD01;B02BD
B01AX01;B01AX
B01AE03;B01AE
B01AC17;B01AC
B01AC05;B01AC
B01AB05;B01AB
B01AB01;B01AB
A16AB02;A16AB
A16AB;A16A
A16AA03;A16AA
A12CC01;A12CC
A12CA02;A12CA
A12CA;A12C
A12AA03;A12AA
A11HA04;A11HA
A10AB04;A10AB
L01BC08;L01BC
L01BC07;L01BC
L01BC01;L01BC
L01BA04;L01BA
L01AA09;L01AA
L01AA02;L01AA
J07CA06;J07CA
J07AM51;J07AM
J07AG51;J07AG
J07AG;J07A
C03BA11;C03BA
C03BA08;C03BA
L01BB04;L01BB
L01BB03;L01BB
L01BA01;L01BA
L01AA05;L01AA
B05XA31;B05XA
B05CB04;B05CB
B05CB;B05C
B03BA51;B03BA
B03BA01;B03BA
B03AB07;B03AB
B03AB;B03A
B03AA03;B03AA
B02BX05;B02BX
B02BD02;B02BD
B02BC06;B02BC
B02AB02;B02AB
B02AB;B02A
B02AA01;B02AA
A12CB01;A12CB
A12CB;A12C
A11HA01;A11HA
A11DA01;A11DA
A11DA;A11D
A11D;A11
A10BG03;A10BG
A10BF01;A10BF
A10AE05;A10AE
A07XA03;A07XA
A07XA;A07X
A07X;A07
J06BB05;J06BB
J06BB02;J06BB
B05XB03;B05XB
B05XA17;B05XA
B05XA12;B05XA
B05XA08;B05XA
B05XA07;B05XA
B05XA05;B05XA
B05XA03;B05XA
B05CB01;B05CB
B05CA09;B05CA
B05BC01;B05BC
B05AA05;B05AA
B03XA02;B03XA
B02BD30;B02BD
B02BD06;B02BD
B01AC13;B01AC
B01AC06;B01AC
B01AB02;B01AB
A12CC10;A12CC
A12AA04;A12AA
A11HA31;A11HA
A11HA02;A11HA
A07EC02;A07EC
A06AH01;A06AH
A06AH;A06A
A06AG04;A06AG
A06AG;A06A
A05AB01;A05AB
A05AB;A05A
A05A;A05
A04AD12;A04AD
J06BB11;J06BB
J06BB09;J06BB
J06AA02;J06AA
J06AA;J06A
J06A;J06
B05XA11;B05XA
B05XA01;B05XA
B03BA03;B03BA
B01AD02;B01AD
B01AC09;B01AC
A14AA08;A14AA
A12CA01;A12CA
A12BA02;A12BA
A12AA05;A12AA
A11CC05;A11CC
A10BD07;A10BD
A10BD;A10B
A10BB12;A10BB
A10BB07;A10BB
A10AD30;A10AD
A10AD02;A10AD
A09AB04;A09AB
A09AB;A09A
A09A;A09
A09;A
A09AA01;A09AA
A09AA;A09A
A07FA02;A07FA
A07FA;A07F
A07F;A07
A07AA02;A07AA
A07AA01;A07AA
A06AX01;A06AX
A06AG02;A06AG
A10AB06;A10AB
A07EB01;A07EB
A07EB;A07E
A07DA03;A07DA
A06AD13;A06AD
A06AB06;A06AB
A04AD51;A04AD
A04AA04;A04AA
A04AA01;A04AA
C02KX02;C02KX
C02KX;C02K
C02K;C02
C02CA04;C02CA
C02CA;C02C
C02C;C02
C02AA02;C02AA
C02AA;C02A
C02A;C02
C01EB18;C01EB
C01EB;C01E
C01E;C01
C01EB10;C01EB
C01EB09;C01EB
C01CE02;C01CE
C01CE;C01C
C01BA03;C01BA
A03AX13;A03AX
A03AX;A03A
A02BA02;A02BA
A02BA;A02B
A02AB02;A02AB
A01AA01;A01AA
A01AA;A01A
A07EA06;A07EA
A07AA06;A07AA
A06AH02;A06AH
A06AD65;A06AD
A06AD15;A06AD
A05AA02;A05AA
A05AA;A05A
A04AA02;A04AA
C02DC01;C02DC
C02DC;C02D
C01EB02;C01EB
C01DA14;C01DA
C01CA17;C01CA
C01BD01;C01BD
A03AX10;A03AX
A02BB01;A02BB
A02BB;A02B
A02BA03;A02BA
A01AB18;A01AB
C02KX01;C02KX
C02AB01;C02AB
C02AB;C02A
C01EB03;C01EB
C01CA04;C01CA
C01CA03;C01CA
C02AC02;C02AC
C02AC;C02A
C02AC01;C02AC
C01CA24;C01CA
A03AE01;A03AE
A03AE;A03A
A02AD04;A02AD
A02AD;A02A
A01AD05;A01AD
A01AD;A01A
A03AB02;A03AB
A03AB;A03A
A01AC01;A01AC
A01AC;A01A
N06AX26;N06AX
D07AB08;D07AB
D06BA03;D06BA
D06AX04;D06AX
D04AB02;D04AB
D01AE12;D01AE
D01AC08;D01AC
C10AX09;C10AX
C10AD52;C10AD
C10AC04;C10AC
C07AA05;C07AA
C05AA11;C05AA
C04AX02;C04AX
C04AX;C04A
C03XA01;C03XA
C03XA;C03X
C03X;C03
C03DB01;C03DB
L01BC06;L01BC
L01BC02;L01BC
J07CA12;J07CA
J07BC02;J07BC
B05XA14;B05XA
B05XA06;B05XA
B05BB03;B05BB
B05BB02;B05BB
B03AB01;B03AB
B01AC22;B01AC
A12CD01;A12CD
A12CD;A12C
A12CC02;A12CC
A10AE04;A10AE
A10AD04;A10AD
A10AD01;A10AD
A07EC04;A07EC
A07EC03;A07EC
A07DA01;A07DA
A07BA01;A07BA
A07BA;A07B
A07B;A07
A06AG06;A06AG
A06AD11;A06AD
A06AD10;A06AD
C02AB02;C02AB
C01DA02;C01DA
C01CA02;C01CA
C01BD04;C01BD
C01BB02;C01BB
C01BB;C01B
A03BB02;A03BB
A03BB;A03B
A03B;A03
A03BA01;A03BA
A03BA;A03B
A03AB05;A03AB
A02BC02;A02BC
A02BC01;A02BC
A12BA04;A12BA
A11HA05;A11HA
A11CC01;A11CC
A10BX03;A10BX
A10BH01;A10BH
A10BH;A10B
A10BD02;A10BD
A10AB05;A10AB
A10AB01;A10AB
A07AA11;A07AA
A06AX03;A06AX
A06AG07;A06AG
A06AB56;A06AB
A04AD10;A04AD
C02CA01;C02CA
C01EB17;C01EB
C01EB16;C01EB
C01EA01;C01EA
C01EA;C01E
C01DX19;C01DX
C01DX;C01D
C01BB01;C01BB
A03AD01;A03AD
A03AD;A03A
A02BX02;A02BX
A02BX;A02B
A02BC05;A02BC
A02AC01;A02AC
A02AC;A02A
A01AC02;A01AC
A02AA02;A02AA
A02AA;A02A
C01BC04;C01BC
C01BC;C01B
C01BC03;C01BC
C01AA05;C01AA
C01AA;C01A
C01A;C01
A03CB03;A03CB
A02BA01;A02BA
A02AA04;A02AA
R03AK09;R03AK
N05AE05;N05AE
A12AA13;A12AA
S01AE06;S01AE
S01AE01;S01AE
J01DI02;J01DI
J01DI;J01D
C05AA12;C05AA
C01BD07;C01BD
L01XC12;L01XC
V03AF02;V03AF
V03AB35;V03AB
S03CA01;S03CA
S03AA30;S03AA
S02AA10;S02AA
S01GX01;S01GX
S01FA01;S01FA
P03AB02;P03AB
P03AB;P03A
S01FA54;S01FA
B02BD13;B02BD
R06AA10;R06AA
L02BB04;L02BB
B02BD14;B02BD
N05AX15;N05AX
L04AA33;L04AA
L04AA34;L04AA
R03BA09;R03BA
B01AC25;B01AC
D03AX12;D03AX
C05AE03;C05AE
J01DD52;J01DD
L01XC18;L01XC
N03AX23;N03AX
R02AX02;R02AX
R02AX;R02A
V03AB37;V03AB
J05AR17;J05AR
V03AE07;V03AE
J05AR18;J05AR
A16AX11;A16AX
A16AX;A16A
V03AE08;V03AE
J01DI54;J01DI
J01XX11;J01XX
L01XC19;L01XC
L01XC21;L01XC
L01XC17;L01XC
C09DX04;C09DX
C09DX;C09D
C09D;C09
N02AJ06;N02AJ
N02AJ;N02A
L01XX52;L01XX
N02AJ17;N02AJ
V03AE09;V03AE
A16AX13;A16AX
B01AF03;B01AF
L01XC24;L01XC
J05AF13;J05AF
N02AJ09;N02AJ
A10BJ02;A10BJ
A10BJ;A10B
J05AR20;J05AR
J05AP02;J05AP
J05AP;J05A
J05AP08;J05AP
J05AP51;J05AP
J05AP07;J05AP
A11CC55;A11CC
J05AP01;J05AP
J05AR22;J05AR
J07BK03;J07BK
J07BK;J07B
V03AB38;V03AB
B01AF02;B01AF
J04AD03;J04AD
J04AD;J04A
L02BG04;L02BG
H02AB02;H02AB
N03AD03;N03AD
S02AA07;S02AA
A03BA03;A03BA
S01XA18;S01XA
A06AH04;A06AH
A16AX12;A16AX
G01AA01;G01AA
G01AA;G01A
A07DA02;A07DA
J05AP03;J05AP
L01EE01;L01EE
L01EE;L01E
L01E;L01
L01EX01;L01EX
L01EX;L01E
D04AX01;D04AX
D04AX;D04A
L01EC01;L01EC
L01EC;L01E
L01XF01;L01XF
L01XF;L01X
L01EK01;L01EK
L01EK;L01E
A05BA09;A05BA
L01EG01;L01EG
L01EG;L01E
L01EX03;L01EX
L01EA01;L01EA
L01EA;L01E
C01CX09;C01CX
C01CX;C01C
L01EA02;L01EA
L01CE02;L01CE
L01CE;L01C
N02AA11;N02AA
B05XA18;B05XA
L01CE01;L01CE
L01XH04;L01XH
L01XH;L01X
L01XG02;L01XG
L01XG;L01X
L01EH01;L01EH
L01EH;L01E
L01EB02;L01EB
L01EB;L01E
J05AX18;J05AX
L01EJ01;L01EJ
L01EJ;L01E
L01XG01;L01XG
B03AD05;B03AD
L01EA03;L01EA
J05AJ03;J05AJ
J05AJ;J05A
V04CX07;V04CX
V04CX;V04C
V04CX02;V04CX
L01XC32;L01XC
L01XH01;L01XH
L01EX10;L01EX
L01EG02;L01EG
L01EX02;L01EX
J05AJ01;J05AJ
J05AJ02;J05AJ
L01XK01;L01XK
L01XK;L01X
R06AA11;R06AA
C10BA08;C10BA
C10BA;C10B
C10B;C10
N06AX28;N06AX
H02CA03;H02CA
H02CA;H02C
H02C;H02
B03AA12;B03AA
V04CX04;V04CX
V09IX13;V09IX
L01XH02;L01XH
V03AF11;V03AF
L01EX13;L01EX
L01EL01;L01EL
L01EL;L01E
L01XY01;L01XY
L01XY;L01X
J05AG06;J05AG
L01XX70;L01XX
L01EM01;L01EM
L01EM;L01E
A03BB06;A03BB
