clinical_drug_form,ingredient
1250233,17621
745797,25255
374646,51272
631993,6057
692500,325646
1719786,167
373303,8120
370527,168
401651,25842
372550,6146
1658041,712566
370659,5553
370548,596
372441,5553
374899,36118
371524,2551
1794549,5553
1665209,2551
864703,864701
405942,2551
372567,28439
1427036,1304122
1790094,3639
1658225,29503
372915,6932
373053,7393
745678,435
374316,11256
373048,7393
477346,234416
808657,40254
377766,6932
1721470,733
374609,74667
372588,82122
1659591,733
375287,56512
376030,7299
374698,7299
370586,733
1665494,82122
374526,7299
1293734,29268
374699,7299
378092,6218
854976,854930
374686,7299
374164,119565
800363,56443
372274,50166
373731,35208
373137,7597
800562,56443
806391,56443
374634,18747
377781,7597
1801266,2447
1304557,7405
370623,2382
372933,6980
371463,2403
372340,1546438
379002,11295
378695,321988
1740905,6980
631981,2449
1729520,38413
1738611,6691
372739,6691
374751,19860
1867735,1901
1729380,1894
727846,1901
371190,1894
800363,426
1721637,105694
1723155,641
372199,25025
311424,52356
801480,426
1727284,39937
373596,8700
373266,7984
372644,6470
1664995,6470
800363,8156
372528,6130
375140,190376
371579,2598
380918,2598
373778,9346
801480,6837
801480,8156
378276,69749
2371799,9346
800975,8156
800975,6837
374024,73494
1665187,6470
1304557,9346
376673,10167
373842,9639
374522,9639
372281,4603
378100,25480
376645,9524
370556,612
1740893,632
370834,612
1740909,6918
372891,6918
801480,6033
372251,4508
1667908,6054
375582,7883
1721457,7233
582298,99
1812612,214824
374639,214824
1791228,3443
371949,82003
377759,6922
1863330,6922
854976,854944
1427036,1427020
375786,2418
544933,2590
379076,2590
477371,322167
485688,2418
1870402,36721
371714,3251
379494,9143
373752,9143
2371799,2418
375480,2418
1859541,9143
378982,2590
1304557,2418
372337,4910
1666797,6960
372997,8132
825408,787390
446503,6960
746938,7052
372007,3827
372960,7052
1737587,40790
1809548,5464
1654342,7617
1868187,36676
378301,89013
1116740,857921
377619,34347
370609,1191
373196,7804
1865696,39954
1856538,1191
800975,36679
373899,36676
314003,6750
800363,8737
1863604,4850
377668,3254
1867937,3992
876076,4850
372030,3992
727516,4850
1672916,3992
801480,8737
801480,4919
1794561,4850
373825,83395
727310,3992
374862,6750
376511,6750
372031,3992
1734184,623400
374727,161
373748,35296
757668,10528
370508,161
373200,161
370754,161
370640,5487
1661207,535
374035,37801
385102,37801
1731354,3041
372945,30131
800363,10524
1988651,1988648
2285807,3041
1729368,2105
1719645,5093
374632,141626
370679,5691
372376,5093
1442985,1442981
1790155,9894
1656665,6585
1724154,27100
2464346,6585
373652,8787
373654,8787
373653,8787
373791,35636
1659739,29899
800975,164
373790,35636
1726504,1424
672566,679314
1720759,877015
1863334,5470
727756,214555
370716,6038
876077,114202
370655,3423
829986,797752
438301,2002
1658057,798361
372054,4025
371259,2002
1724135,274771
1653345,4832
1724665,689
372053,4025
1791339,7396
314003,29787
370623,60212
1665009,6754
993451,993449
378236,7646
1856538,3521
371917,3521
371866,3444
376511,29787
800363,10962
