CHILD;PARENT
LP382780-7;LP15355-8
LP15355-8;LP31392-1
1798-8;LP382784-9
LP382784-9;LP15355-8
1920-8;LP382836-7
LP382836-7;LP15426-7
LP15426-7;LP31392-1
20569-0;LP382939-9
LP382939-9;LP307397-2
LP307397-2;LP15513-2
LP15513-2;LP32868-9
LP32868-9;LP15510-8
LP15510-8;LP31392-1
2157-6;LP382927-4
LP382927-4;LP15510-8
2324-2;LP383003-3
LP383003-3;LP15590-0
LP15590-0;LP31392-1
2356-4;LP383014-0
LP383014-0;LP15601-5
LP15601-5;LP31392-1
60020-5;LP383080-1
LP383080-1;LP15033-1
LP15033-1;LP31392-1
2532-0;LP383084-3
LP383084-3;LP15033-1
47418-9;LP383261-7
LP383261-7;LP14915-0
LP14915-0;LP31392-1
3040-3;LP383262-5
LP383262-5;LP14915-0
11555-0;LP383304-5
LP383304-5;LP15429-1
LP15429-1;LP31400-2
LP31400-2;LP7786-9
1925-7;LP383305-2
LP383305-2;LP15429-1
60840-6;LP383312-8
LP383312-8;LP15429-1
11557-6;LP383321-9
LP383321-9;LP15150-3
LP15150-3;LP31400-2
34728-6;LP383321-9
2019-8;LP383322-7
LP383322-7;LP15150-3
41647-9;LP383322-7
11556-8;LP383360-7
LP383360-7;LP14536-4
LP14536-4;LP31400-2
2703-7;LP383361-5
LP383361-5;LP14536-4
2708-6;LP383400-1
LP383400-1;LP21258-6
LP21258-6;LP14536-4
11558-4;LP383431-6
LP383431-6;LP14752-7
LP14752-7;LP31400-2
2744-1;LP383432-4
LP383432-4;LP14752-7
2748-2;LP383439-9
LP383439-9;LP14752-7
2756-5;LP383455-5
LP383455-5;LP14752-7
3084-1;LP383583-4
LP383583-4;LP15935-7
LP15935-7;LP31405-1
LP31405-1;LP7786-9
3086-6;LP383585-9
LP383585-9;LP15935-7
2890-2;LP384996-7
LP384996-7;LP286943-8
LP286943-8;LP15838-3
LP15838-3;LP7786-9
14958-3;LP384505-6
LP384505-6;LP284902-6
LP284902-6;LP6118-6
LP6118-6;LP15838-3
1749-1;LP384481-0
LP384481-0;LP6118-6
1748-3;LP384482-8
LP384482-8;LP6118-6
1751-7;LP384485-1
LP384485-1;LP6118-6
1752-5;LP384488-5
LP384488-5;LP6118-6
1754-1;LP384489-3
LP384489-3;LP6118-6
2883-7;LP384462-0
LP384462-0;LP15838-3
2882-9;LP384464-6
LP384464-6;LP15838-3
2885-2;LP384468-7
LP384468-7;LP15838-3
1988-5;LP384546-0
LP384546-0;LP15023-2
LP15023-2;LP15838-3
2942-1;LP384715-1
LP384715-1;LP15863-1
LP15863-1;LP15835-9
LP15835-9;LP14885-5
LP14885-5;LP15838-3
2336-6;LP384596-5
LP384596-5;LP14885-5
20404-0;LP384779-7
LP384779-7;LP19447-9
LP19447-9;LP15573-6
LP15573-6;LP15623-9
LP15623-9;LP15838-3
2458-8;LP384793-8
LP384793-8;LP14669-3
LP14669-3;LP31769-0
LP31769-0;LP15838-3
2465-3;LP384832-4
LP384832-4;LP14672-7
LP14672-7;LP31769-0
2472-9;LP384862-1
LP384862-1;LP14674-3
LP14674-3;LP31769-0
2276-4;LP385083-3
LP385083-3;LP15568-6
LP15568-6;LP15677-5
LP15677-5;LP7786-9
2500-7;LP385085-8
LP385085-8;LP15678-3
LP15678-3;LP15677-5
2498-4;LP385074-2
LP385074-2;LP15677-5
2132-9;LP385133-6
LP385133-6;LP15505-8
